turn,correct,first_correct_turn,kl,wasserstein,tv,cosine,euclidean,margin_gain,surprisal_adj_belief_shift,log_odds_gain,entropy_before,entropy_after,entropy_delta,hybrid_score
1,0,-1,0.2269287109375,1.46197509765625,0.731201171875,1.35302734375,0.934814453125,-0.160888671875,0.908203125,8.28125,2.3486328125,2.5009765625,0.15234375,2.7241943359375
2,0,-1,0.256561279296875,1.90704345703125,0.9537353515625,2.2490234375,1.225341796875,-0.372802734375,1.02642822265625,10.609375,3.4208984375,3.7314453125,0.310546875,3.8787536621093754
3,0,-1,0.343658447265625,2.693389892578125,1.3468017578125,2.93017578125,1.744384765625,-0.420654296875,1.37457275390625,14.58203125,4.4873046875,4.7939453125,0.306640625,5.191131591796875
4,0,-1,0.469512939453125,3.576629638671875,1.7884521484375,3.53955078125,2.298583984375,-0.563232421875,1.87701416015625,18.9375,5.546875,5.9853515625,0.4384765625,6.630096435546875
5,0,-1,0.480865478515625,3.867156982421875,1.9337158203125,4.5,2.479736328125,-0.70849609375,1.922576904296875,20.380859375,6.662109375,7.2138671875,0.5517578125,7.667376708984375
6,0,-1,0.4886474609375,4.100311279296875,2.05029296875,5.47900390625,2.6195068359375,-0.824951171875,1.953948974609375,21.80078125,7.7685546875,8.45703125,0.6884765625,8.6681396484375
7,0,-1,0.519439697265625,4.548187255859375,2.274169921875,6.38232421875,2.8905029296875,-0.977783203125,2.077545166015625,24.27734375,8.8740234375,9.6728515625,0.798828125,9.812872314453124
8,0,-1,0.666412353515625,5.444000244140625,2.721923828125,7.04541015625,3.4290771484375,-0.958251953125,2.665435791015625,30.1328125,9.9873046875,10.5947265625,0.607421875,11.134820556640625
9,0,-1,0.672760009765625,5.6402587890625,2.820068359375,8.02587890625,3.552001953125,-1.032470703125,2.691009521484375,31.416015625,11.115234375,11.7216796875,0.6064453125,12.050299072265625
10,0,-1,0.672760009765625,5.6402587890625,2.820068359375,8.02587890625,3.552001953125,-1.032470703125,2.691009521484375,31.416015625,11.115234375,11.7216796875,0.6064453125,12.050299072265625
0,0,-1,0.182373046875,0.80303955078125,0.401611328125,0.73828125,0.49072265625,0.16943359375,0.73046875,5.546875,0.958984375,0.90380859375,-0.05517578125,1.2651123046875001
1,0,-1,0.466064453125,1.8856201171875,0.942626953125,1.1025390625,1.2294921875,0.2421875,1.865234375,11.80859375,2.0810546875,1.8935546875,-0.1875,2.76064453125
2,0,-1,0.71923828125,2.668506622314453,1.334228515625,1.96826171875,1.7236328125,0.6337890625,2.876953125,20.52734375,3.2109375,2.24072265625,-0.97021484375,3.776045227050781
3,0,-1,0.97314453125,3.556915283203125,1.7783203125,2.81103515625,2.27685546875,1.078125,3.892578125,31.50390625,4.30078125,2.42822265625,-1.87255859375,4.78809814453125
4,0,-1,1.184326171875,4.2956390380859375,2.147705078125,3.63330078125,2.753173828125,1.40673828125,4.736328125,37.50390625,5.40625,3.05712890625,-2.34912109375,5.895379638671875
